Country;IOC;FIFA;ISO
British Honduras;HBR;BHO;
Burma;BIR;BUR;BUR
Ceylon;CEY;CEY;
Dahomey;DAH;DAH;DHY
Czechoslovakia;TCH;TCH;CSK
East Germany;GDR;DDR;DDR
Khmer Republic;KHM;;
Malaya;MAL;;
Netherlands Antilles;AHO;ANT;ANT
North Borneo;NBO;NBO;
North Yemen;YAR;NYE;YEM
Northern Rhodesia;NRH;NRH;
Rhodesia;RHO;RHO;RHO
Serbia and Montenegro;SCG;SCG;SCG
South Yemen;YMD;SYE;YMD
Soviet Union;URS;URS;SUN
Upper Volta;VOL;UPV;HVO
Viet-Nam, Democratic Republic of;;VNO;VDR
Viet Nam, Republic of;VNM;VSO;VNM
West Germany;FRG;FRG;DEU
Yugoslavia, Federal Republic of;YUG;YUG;YUG
Yugoslavia, Socialist Federal Republic of;YUG;YUG;YUG
Zaire;ZAI;ZAI;ZAR
